...1,dataset,easting,northing,uptime_days,tot_humans,tot_bikes,tot_hikers,tot_vehicles,tot_horses,tot_skiers,tot_grizzlies,tot_wolves,tot_offleash,humans_per_day,bikes_per_day,hikers_per_day,vehicles_per_day,skiers_per_day,horses_per_day,grizzlies_per_day,wolves_per_day,offleash_per_day,elevation,slope,terrain_ruggedness,aspect_radians,dtown_m,dpavedroad_m,snow_annual,barren,herbaceous,conif_open,shrub,dwater_m,in_study,trail01_formal,trail01_informal,road01_paved,road01_unpaved,droad_m,disturbance_bv,disturbance_bc,site_name
286,CATS,615640,5663676,2514,58,0,58,0,0,0,0,4,0,0.0230708035003978,0,0.0230708035003978,0,0,0,0,0.00159108989657916,0,1492,10,3.75,3.95923770304647,863.412168203941,872,9.16095447540283,0,0,0,0,2066.51879882812,1,0,0,0,0,874.338134298115,1,0,camera_1
335,CATS,617363,5656363,2016,321,106,215,0,0,0,5,7,26,0.15922619047619,0.0525793650793651,0.106646825396825,0,0,0,0.00248015873015873,0.00347222222222222,0.0128968253968254,1463,21,6.5,0.536688179066525,538.227772157317,571,11.0559511184692,0,0,1,0,1490.369140625,1,0,1,0,0,589.372022595517,1,0,camera_2
1325,BYK,598269,5672155,344,155,1,136,0,0,18,4,7,3,0.450581395348837,0.00290697674418605,0.395348837209302,0,0.0523255813953488,0,0.0116279069767442,0.0203488372093023,0.00872093023255814,1517,16,4.5,2.78282197786257,1256.6363179652,170,9.21365451812744,0,0,0,0,913.892761230469,1,0,0,0,0,184.624221885756,0,0,camera_3
460,EB,622450,5657450,37.8291666666667,1,0,1,0,0,0,0,0,0,0.0264346293644675,0,0.0264346293644675,0,0,0,0,0,0,1422,19,9.125,3.19033462680875,1670.14801987846,420,7.05792236328125,0,0,0,0,684.105285644531,1,0,0,0,0,416.8055429634,1,0,camera_4
84,CATS,618640,5659155,58,1,0,1,0,0,0,0,0,0,0.0172413793103448,0,0.0172413793103448,0,0,0,0,0,0,1299,2,1.375,3.28348960489474,931.002972260181,150,7.49139499664307,0,0,0,0,30,1,0,0,0,0,166.693597969055,1,0,camera_5
1289,BYK,557053,5715171,1214,113,0,103,0,8,2,17,6,0,0.0930807248764415,0,0.0848434925864909,0,0.00164744645799012,0.00658978583196046,0.014003294892916,0.00494233937397035,0,1925,2,4.625,1.24904572074865,16974.2060739785,8799,25.123514175415,0,0,1,0,2439.61059570312,1,1,0,0,0,8802.63599360186,0,1,camera_6
205,CATS,610227,5665851,362,14,0,14,0,0,0,0,0,0,0.0386740331491713,0,0.0386740331491713,0,0,0,0,0,0,1335,5,1.625,1.15257204447025,2482.32835846055,1018,12.6744165420532,0,0,1,0,201.246109008789,1,0,1,0,0,1011.10880924594,1,0,camera_7
67,CATS,616332,5657119,76,1,0,1,0,0,0,0,0,0,0.0131578947368421,0,0.0131578947368421,0,0,0,0,0,0,1417,9,2.625,0.643501078934446,746.543805269865,779,10.4260721206665,0,0,1,0,1207.47668457031,1,0,1,0,0,656.489077867807,1,0,camera_8
1599,BYK,547031,5699904,1512,46,0,43,0,0,3,7,1,0,0.0304232804232804,0,0.0284391534391534,0,0.00198412698412698,0,0.00462962962962963,6.6137566137566e-4,0,1624,7,2.375,3.10712362591701,9356.7529416568,0,13.6697340011597,0,0,0,1,904.488830566406,1,0,0,1,0,3.39820105616081,0,0,camera_9
198,CATS,624357,5656221,902,875,191,684,0,0,0,2,18,82,0.970066518847007,0.211751662971175,0.758314855875831,0,0,0,0.00221729490022173,0.0199556541019956,0.0909090909090909,1331,19,12.25,5.95385933941261,2407.48395893627,162,8.62888050079346,0,0,0,0,283.019439697266,1,1,0,0,0,174.27905310164,1,0,camera_10
267,CATS,624099,5656330,4824,226,0,226,0,0,0,4,0,0,0.046849087893864,0,0.046849087893864,0,0,0,8.2918739635157e-4,0,0,1297,4,1.25,5.84655791593222,2180.56425461128,30,9.86038494110107,1,0,0,0,161.554946899414,1,0,0,1,0,47.5958038975725,1,0,camera_11
1296,BYK,548590,5724075,1177,2580,3,2442,0,33,102,24,12,74,2.19201359388275,0.00254885301614274,2.07476635514019,0,0.086661002548853,0.0280373831775701,0.0203908241291419,0.0101954120645709,0.0628717077315208,2009,6,0.75,6.1725283007257,26968.4012974977,4039,26.1257553100586,0,0,1,0,2193.28515625,1,1,0,0,0,4032.45770935769,0,0,camera_12
461,EB,622162,5657731,45.0604166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487,22,12.375,3.64260595893146,1870.89125724936,511,6.1356315612793,0,0,0,0,1083.74353027344,1,0,0,0,0,510.830538495505,1,0,camera_13
18,CATS,638399,5658800,329,139,0,121,0,18,0,0,9,23,0.422492401215805,0,0.367781155015198,0,0,0.0547112462006079,0,0.027355623100304,0.0699088145896656,1351,3,1,5.69518277430768,8311.10688120455,930,7.95128536224365,0,0,1,0,577.0615234375,1,0,1,0,0,934.918323280387,1,0,camera_14
1446,BYK,583037,5674907,2325,12339,1469,8703,370,87,1710,23,39,195,5.30709677419355,0.631827956989247,3.74322580645161,0.159139784946237,0.735483870967742,0.0374193548387097,0.00989247311827957,0.0167741935483871,0.0838709677419355,1438,2,3.875,6.28318530717959,16531.0772359751,285,9.20075607299805,0,0,0,0,517.880310058594,1,1,0,0,0,306.586821959122,0,0,camera_15
